agency,county
Rohnert Park Dept Of Public Safety,Sonoma County
Rosemead,Los Angeles County
Roseville Police Dept,Placer County
Sacramento County Sheriff Department,Sacramento County
Sacramento Police Dept,Sacramento County
Salinas Police Dept,Monterey County
San Bernardino County Sheriff Department,San Bernardino County
San Bernardino Police Dept,San Bernardino County
San Bruno Police Dept,San Mateo County
San Clemente,Orange County
San Diego County Sheriff Department,San Diego County
San Diego Police Dept,San Diego County
San Dimas,Los Angeles County
San Fernando Police Dept,Los Angeles County
San Francisco Police Dept,San Francisco County
San Gabriel Police Dept,Los Angeles County
San Jacinto Police Dept,Riverside County
San Joaquin County Sheriff Department,San Joaquin County
San Jose Police Dept,Santa Clara County
San Juan Capistrano,Orange County
San Leandro Police Dept,Alameda County
San Luis Obispo County Sheriff Department,San Luis Obispo County
San Luis Obispo Police Dept,San Luis Obispo
San Marino Police Dept,Los Angeles County
San Mateo County Sheriff Department,San Mateo County
San Mateo Police Dept,San Mateo County
San Pablo Police Dept,Contra Costa County
San Rafael Police Dept,Marin County
San Ramon,Contra Costa County
Sanger Police Dept,Fresno County
Santa Ana Police Dept,Orange County
Santa Barbara County Sheriff Department,Santa Barbara County
Santa Barbara Police Dept,Santa Barbara County
Santa Clara County Sheriff Department,Santa Clara County
Santa Clara Police Dept,Santa Clara County
Santa Clarita,Los Angeles County
Santa Cruz County Sheriff Department,Santa Cruz County
Santa Cruz Police Dept,Santa Cruz County
Santa Fe Springs,Los Angeles County
Santa Maria Police Dept,Santa Barbara County
Santa Monica Police Dept,Los Angeles County
Santa Paula Police Dept,Ventura County
Santa Rosa Police Dept,Santa Rosa County
Santee,San Diego County
Saratoga,Saratoga County
Scotts Valley Police Dept,Santa Cruz County
Seal Beach Police Beach,Orange County
Seaside Police Dept,Monterey County
Selma Police Dept,Dallas County
Shafter Police Dept,Kern County
Shasta County Sheriff Department,Shasta County
Sierra Madre Police Dept,Los Angeles County
Signal Hill Police Dept,Los Angeles County
Simi Valley Police Dept,Ventura County
Solana Beach,San Diego County
Soledad Police Dept,Monterey County
Sonoma County Sheriff Department,Sonoma County
Sonoma Police Dept,Sonoma County
South El Monte,Los Angeles County
South Gate Police Dept,Los Angeles County
South Lake Tahoe Police Dept,El Dorado County
South Pasadena Police Dept,Los Angeles County
South San Francisco Police Dept,San Mateo County
Stanislaus County Sheriff Department,Stanislaus County
Stanton,Stanton County
Stockton Police Dept,San Joaquin County
Suisun City Police Dept,Solano County
Sunnyvale Dept Of Public Safety,Santa Clara County
Susanville Police Dept,Lassen County
Sutter County Sheriff Department,Sutter County
Tehama County Sheriff Department,Tehama County
Temecula,Riverside County
Temple City,Los Angeles County
Thousand Oaks,Ventura County
Torrance Police Dept,Torrance County
Tracy Police Dept,San Joaquin County
Truckee,Nevada County
Tulare County Sheriff Department,Tulare County
Tulare Police Dept,Tulare County
Tuolumne County Sheriff Department,Tuolumne County
Turlock Police Dept,Stanislaus County
Tustin Police Dept,Orange County
Twenty-Nine Palms,San Bernardino County
Ukiah Dept Of Public Safety,Mendocino County
Union City Police Dept,Union County
Upland Police Dept,San Bernardino County
Vacaville Police Dept,Solano County
Vallejo Police Dept,Solano County
Ventura County Sheriff Department,Ventura County
Ventura Police Dept,Ventura County
Victorville,San Bernardino County
Visalia Police Dept,Tulare County
Walnut,Los Angeles County
Walnut Creek Police Dept,Contra Costa County
Watsonville Police Dept,Santa Cruz County
West Covina Police Dept,Los Angeles County
West Hollywood,Los Angeles County
West Sacramento Police Dept,Yolo County
Westminster Police Dept,Orange County
Whittier Police Dept,Los Angeles County
Windsor,Sonoma County
Woodland Police Dept,Yolo County
Yolo County Sheriff Department,Yolo County
Yorba Linda,Orange County
Yuba County Sheriff Department,Yuba County
Yuba City Police Dept,Yuba County
Yucaipa,San Bernardino County
Yucca Valley,San Bernardino County
